line,label
0.1,0.1
0.2,
0.3,
0.4,
0.5,
0.6,
0.7,
0.8,
0.9,
1,1
2,
3,
4,
5,
6,
7,
8,
9,
10,10
20,
30,
40,
50,
60,
70,
80,
90,
100,100
200,
300,
400,
500,
600,
700,
800,
900,
1000,"1,000"
2000,
3000,
4000,
5000,
6000,
7000,
8000,
9000,
10000,"10,000"
20000,
30000,
40000,
50000,
60000,
70000,
80000,
90000,
100000,"100,000"
200000,
300000,
400000,
500000,
600000,
700000,
800000,
900000,
1000000,"1,000,000"
2000000,
3000000,
4000000,
5000000,
6000000,
7000000,
8000000,
9000000,
10000000,"10,000,000"
