Display Name,Time,Op Gas Rate,Op Water Rate,Entity Name,API Number
21-06,05/01/1965 12:00:00 AM,5876.0,,KENAI UNIT,50133100900000
21-06,06/01/1965 12:00:00 AM,261.0,,KENAI UNIT,50133100900000
21-06,07/01/1965 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,08/01/1965 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,09/01/1965 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,10/01/1965 12:00:00 AM,9442.5,,KENAI UNIT,50133100900000
21-06,11/01/1965 12:00:00 AM,4782.6,,KENAI UNIT,50133100900000
21-06,12/01/1965 12:00:00 AM,9640.7,,KENAI UNIT,50133100900000
21-06,01/01/1966 12:00:00 AM,10410.8,,KENAI UNIT,50133100900000
21-06,02/01/1966 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,03/01/1966 12:00:00 AM,24.0,,KENAI UNIT,50133100900000
21-06,04/01/1966 12:00:00 AM,6407.9,,KENAI UNIT,50133100900000
21-06,05/01/1966 12:00:00 AM,11320.5,,KENAI UNIT,50133100900000
21-06,06/01/1966 12:00:00 AM,12547.5,,KENAI UNIT,50133100900000
21-06,07/01/1966 12:00:00 AM,9682.3,,KENAI UNIT,50133100900000
21-06,08/01/1966 12:00:00 AM,6863.0,,KENAI UNIT,50133100900000
21-06,09/01/1966 12:00:00 AM,7874.5,,KENAI UNIT,50133100900000
21-06,10/01/1966 12:00:00 AM,6817.6,,KENAI UNIT,50133100900000
21-06,11/01/1966 12:00:00 AM,7772.4,,KENAI UNIT,50133100900000
21-06,12/01/1966 12:00:00 AM,10153.5,,KENAI UNIT,50133100900000
21-06,01/01/1967 12:00:00 AM,8097.8,,KENAI UNIT,50133100900000
21-06,02/01/1967 12:00:00 AM,4026.4,,KENAI UNIT,50133100900000
21-06,03/01/1967 12:00:00 AM,7968.9,,KENAI UNIT,50133100900000
21-06,04/01/1967 12:00:00 AM,6512.2,,KENAI UNIT,50133100900000
21-06,05/01/1967 12:00:00 AM,7166.6,,KENAI UNIT,50133100900000
21-06,06/01/1967 12:00:00 AM,6144.8,,KENAI UNIT,50133100900000
21-06,07/01/1967 12:00:00 AM,1241.0,,KENAI UNIT,50133100900000
21-06,08/01/1967 12:00:00 AM,4474.0,,KENAI UNIT,50133100900000
21-06,09/01/1967 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,10/01/1967 12:00:00 AM,9319.7,,KENAI UNIT,50133100900000
21-06,11/01/1967 12:00:00 AM,11665.5,,KENAI UNIT,50133100900000
21-06,12/01/1967 12:00:00 AM,8679.0,,KENAI UNIT,50133100900000
21-06,01/01/1968 12:00:00 AM,9118.2,,KENAI UNIT,50133100900000
21-06,02/01/1968 12:00:00 AM,10338.4,,KENAI UNIT,50133100900000
21-06,03/01/1968 12:00:00 AM,7876.5,,KENAI UNIT,50133100900000
21-06,04/01/1968 12:00:00 AM,6785.3,,KENAI UNIT,50133100900000
21-06,05/01/1968 12:00:00 AM,10627.0,,KENAI UNIT,50133100900000
21-06,06/01/1968 12:00:00 AM,9321.0,,KENAI UNIT,50133100900000
21-06,07/01/1968 12:00:00 AM,1107.0,,KENAI UNIT,50133100900000
21-06,08/01/1968 12:00:00 AM,900.3,,KENAI UNIT,50133100900000
21-06,09/01/1968 12:00:00 AM,8104.3,,KENAI UNIT,50133100900000
21-06,10/01/1968 12:00:00 AM,9293.5,,KENAI UNIT,50133100900000
21-06,11/01/1968 12:00:00 AM,9009.7,,KENAI UNIT,50133100900000
